svensk,german,optional,page,chapter
längta,sich sehnen,"(-r, -de, -t)",20,4
sol,Sonne,(-en),20,4
deckare,Krimi,"(-n, –, deckarna)",20,4
Finland,Finnland,"",20,4
Kom in! Komm(t) herein!,undefined,(t),21,4
detsamma,gleichfalls,"",21,4
stad,Stadt,"(-en, städer, städerna)",23,4
mössa,Mütze,"(-n, -or, -orna)",23,4
läppglans,Lipgloss,(-et),24,5
visa,Visum,"(-r, -de, -t)",24,5
Kapitel,3,"",25,5
baklänges,rückwärts,"",28,5
lillasyster,kleine Schwester,"(-n, småsystrar, småsystrarna)",28,5
kvart,Viertel,"(-en, -ar, -arna)",29,5
självklart,selbstverständlich,"",30,5
aktivitet,Aktivität,"(-en, -er, -erna)",31,6
städa,aufräumen,"(-r, -de, -t)",31,6
vin,Wein,"(-et, -er, -erna)",31,6
danskurs,Tanzkurs,"(-en, -er, -erna)",31,6
liten,klein,"(litet, lilla)",31,6
piano,Klavier,"(-t, -n, -na)",31,6
båda,beide,"",33,6
tips,Tipp,"(-et, –, tipsen)",35,6
gym,Fitnessstudio,"(-met, –, -men)",35,6
närbutik,Tante-Emma-Laden,"(-n, -er, -erna)",35,7
kompis,Kumpel,"(-en, -ar, -arna)",35,7
partner,Partner,"(-n-, −, -na)",35,7
kvitto,Quittung,"(-t, -on, -ona,)",35,7
ovanför,über,"",35,7
godispåse,Süßigkeitentüte,"(-en, -ar, -arna)",38,7
brownie,Brownie,"(-n, -s)",38,7
näsa,Nase,"(-n, -or, orna)",39,7
purjolök,Lauch,"(-en, -ar, -arna)",40,8
bageri,Bäckerei,"(-et, -er, -erna)",42,8
baka,backen,"(-r, -ade, -ade)",42,8
ostbåge,Käsering,"(-en, -ar, -arna)",42,8
tub,Tube,"(-en, -er, -erna)",43,8
marmelad,Marmelade,(-en),43,8
tändsticka,Streichholz,"(-n, -or, -orna)",43,8
mun,Mund,"(-nen, -nar, -narna)",43,8
hekto,100 Gramm,"(-t, −, -na)",45,8
lördag,Samstag,"(-en, -ar, -arna)",46,9
biljett,Tickets,"(-en, -er, -erna)",46,9
drömspel,Traumspiel,"(-et, −, -en)",46,9
torsdag,Donnerstag,"(-en, -ar- arna)",47,9
negativ,negativ,"(-t, a)",48,9
kör,Chor,"(-en, -er, -erna)",49,9
teveserie,Fernsehserie,"(-n, -er, -erna)",49,9
trumpet,Trompete,"(-en, -er, -erna)",51,9
härlig,herrlich,"(-t, -a)",52,10
fotbollsmatch,Fußballspiel,"(-en, -er, -erna)",52,10
indisk,indisch,"(-t, -a)",53,10
drama,Drama,"(-t, -er, -erna)",53,10
preteritum,Präteritum,"",54,10
fader,Vater,"(fadern, fäder, fäderna)",54,10
vampyr,Vampier,"(-en, -er, -erna)",55,10
Nobelpristagare,Nobelpreisträger,"(-n, −, -arna)",56,10
få,barn Kinder bekommen,"(-r, fick, fått)",56,10
"farmor (farmodern, farmödrar, farmödrarna)",undefined,"(farmodern, farmödrar, farmödrarna)",57,11
prisutdelning,Preisverleihung,"(-en, -ar, -arna)",57,11
leta,suchen,"(-r, -ade, -t)",57,11
separera,sich trennen,"(-r, -de, -t)",59,11
regnbågsfamilj,Regenbogenfamilie,"(-en, -er, -erna)",59,11
ditt,dein,"",60,11
Viktig,wichtig,"(-t, -a)",61,11
riksbanken,schwedische Reichsbank,"(-en, -er, -erna)",62,11
växa,wachsen,"(-er, -te, -t)",62,11
cirka,ungefär,"",62,11
Portugal,Portugal,"",63,12
barndom,Kindheit,"(-en, -ar, -arna)",65,12
uppfinnare,Erfinder,"(-n, −, -na)",65,12
köp,Kauf,"(-et, −, -en)",65,12
systemkamera,Spiegelreflexkamera,"(-n, -or, -orna)",65,12
femhundra,fünfhundert,"",67,12
femtio,fünfzig,"",67,12
jacka,Jacke,"(-n, -or, -orna)",68,12
grön,grün,"(-t, -a)",68,12
ur,aus,"",69,13
hård,hart,"(hårt, -a)",69,13
förut,vorher,"",70,13
kudde,Kissen,"(-n, -ar, -arna)",72,13
prova,ausprobieren,"(-r, -de, -t)",72,13
specialerbjudande,Sonderangebot,"",73,13
bytesrätt,Umtauschrecht,"(-en, -er, -erna)",74,13
kål,Kohl,(-en),75,14
fleece-tröja,Fleece-Pullover,"(-n, -or, -orna)",76,14
lucka,Lücke,"(-n, -or, -orna)",78,14
klänning,Kleid,"(-en, -ar, -arna)",79,14
varg,Wolf,"(-en, -ar, -arna)",79,14
båt,Boot,"(-en, -ar, -arna)",79,14
planera,planen,"(-r, -de, -t)",79,14
åka,runt herumfahren,"(-er, åkte, åkt)",79,14
åttonde,achte,"",82,15
artonde,achzehnte,"",82,15
maj,Mai,"",82,15
nationaldag,Nationalfeiertag,"(-en, -ar, -arna)",82,15
dansa,tango Tango tanzen,"(-r, -ade, -t)",83,15
klättra,klettern,"(-r, -de, -t)",84,15
orka,die Energie haben für etwas,"(-r, -ade, -t)",87,15
sola,sonnen,"(-r, -de, -t)",90,16
Kapitel,9,"",91,16
rondell,Kreisverkehr,"(-en, -er, -erna)",91,16
mening,Satz,"(-en, -ar, -arna)",13,2
ekonom,"Betriebswirt/in, Volkswirt/in","(-en, -er, -erna)",13,2
kemist,Chemiker/in,"(-en, -en, -erna)",14,2
son,Sohn,"(-en, söner, sönerna)",14,2
skilja[s],sich scheiden lassen,"(-er, skilde, skilt)",14,3
"fru (-n, -ar, -arna) (Ehe)frau",undefined,"(-n, -ar, -arna) (Ehe)",15,3
generell,allgemein,"(-t, -a)",16,3
efternamn,Nachname,"(-et, –, -en)",17,3
tack,danke,"",17,3
ganska,ziemlich,"",17,3
markering,Markierung,"(-en, -ar, -arna)",19,3
ner,runter,"",19,4
vän,Freund,"(-nen, -ner, -nerna)",20,4
mamma,Mama,"(-n, -or, -orna)",20,4
Danmark,Dänemark,"",20,4
välkommen,willkommen,"(välkommet, välkomna)",21,4
förstå,verstehen,"(förstår, förstod, förstått)",21,4
man,man,"",22,4
mobiltelefon,Handy,"(-en, -er, -erna)",23,4
"diskutera (-r, -de, -t )diskutieren",undefined,"(-r, -de, -t )",23,4
banan,Banane,"(-en, -er, -erna)",24,5
pass,Pass,"(-et, –, -en)",24,5
halsduk,Halstuch,"(-en, -ar, -arna)",24,5
jämn,gerade,"(-t, -a)",28,5
öva,üben,"(-r, -de, -t)",28,5
imorgon,morgen,"",28,5
fylla,"år Geburtstag haben, … Jahre alt werden","(-er, -de, -t)",28,5
tid,Zeit,"(-en, -er, -erna)",30,5
lunch,Mittagessen,"(-en, -er, -erna)",30,5
taxi,Taxi,"(-n, taxibilar, taxibilarna)",31,6
gitarr,Gitarre,"(-en, -er, -erna)",31,6
alltid,immer,"",31,6
idag,heute,"",31,6
musik,Musik,(-en),31,6
Åh,Oh,"",34,6
stund,Weile,"(-en, -er, -erna)",35,6
mineralvatten,Mineralwasser,(mineralvattnet),35,6
kontantkort,Prepaidkarte,"(-et, −, -en)",35,7
hjälpverb,Hilfsverb,"",35,7
kosta,kosten,"(-r, -de, -t)",35,7
leg,Perso[nalausweis],"(-et, -, -en) (legitimation)",35,7
tjuga,ein Zwanzig-Kronen-Schein,"(-n, -or, -orna) (en tjugolapp)",35,7
kiosk,Kiosk,"(-en, -er, -erna)",38,7
pizza,Pizza,"(-n, -or, -orna)",38,7
morotskaka,Möhrenkuchen,"(-n, -or, -orna)",38,7
bokstav,Buchstabe,"(-en, bokstäver, bokstäverna)",40,7
första,erste,"",42,8
godis,Süßigkeiten,(-et),42,8
karta,Karte,"(-n, -or, -orna)",42,8
socker,Zucker,(sockret),42,8
lingonsylt,Preiselbeermarmelade,(-en),43,8
behöva,brauchen,"(-er, -de, -t)",43,8
öppen,offen,"(öppet, öppna)",43,8
experiment,Experiment,"(-et, −, -en)",46,8
onsdag,Mittwoch,"(-en, -ar, -arna)",46,9
akrobatisk,akrobatisch,"(-t, -a)",47,9
fotboll,Fußball,"(-en, -ar, -arna)",47,9
fantastisk,fantastisch,"(-t, -a)",49,9
vinter,Winter,"(-n, vintrar, vintrarna)",49,9
skateboard,Skateboard,"(-en, ar, -arna)",51,9
romantisk,romantisch,"(-t, -a)",52,10
adjektiv,Adjektiv,(-en),52,10
koreansk,koreanisch,"(-t, -a)",53,10
helg,Wochenende,"(-en, -er, -erna)",54,10
röd,rot,"(rött, -a)",54,10
blå,blau,"(-tt, -a)",54,10
nitton,neunzehn,"",55,10
examen,Examen,"(−, examina)",56,10
farbror,Onkel väterlicherseits,"(farbrodern, farbröder, farbröderna)",57,10
"bonus(-en, -ar, -arna) Bonus",undefined,"(-en, -ar, -arna)",57,11
mig,mich,"",57,11
mor,Mutter,"(modern, mödrar, mödrarna)",58,11
psykolog,Psychologe/Psychologin,"(-en, -er, -erna)",59,11
dina,deine,"",60,11
december,Dezember,"",62,11
fredspris,Friedenspreis,(-et),62,11
experimentera,experimentieren,"(-r, -de, -t)",62,11
"tjäna (-r, -de, -t) (ver)dienen",undefined,"(-r, -de, -t) (ver)",62,11
understruken,unterstrichen,(understrukna),63,12
sjutton,siebzehn,"",64,12
kompositör,Komponist,"(-en, -er, -erna)",65,12
månad,Monat,"(-en, -er, -erna)",65,12
jättedyr,sehr teuer,"(-t, -a)",65,12
hår,Haar,"(-et, −, -en)",67,12
fungera,funktionieren,"(-r, -de, -t)",67,12
kjol,Rock,"(-en, -ar, -arna)",68,12
orange,orange,"(−, -a)",68,12
bred,breit,"(brett, -a)",69,13
ful,hässlich,"(-t, -a)",69,13
inget,nichts,"",71,13
sängavdelning,Bettabteilung,"(-en , -ar, -arna)",72,13
ställa,ihop zusammenstellen,"(ställer, ställde, ställt)",73,13
duntäcke,Daunendecke,"(-t, -n, -na)",73,13
"löparsko( -n-, -r, -rna) Laufschuh",undefined,"( -n-, -r, -rna)",75,13
skina,scheinen,"(-er, sken, skinit)",75,14
ta,kontakt Kontakt aufnehmen,"(-r, tog, tagit)",77,14
specialpris,Spezialpreis,"(-et, -er, -erna)",78,14
Kapitel,8,"",79,14
norr,Norden,"",79,14
historia,Geschichte,"(-en, -er, -erna)",79,14
regnkläder,Regenklamotten,(-na),79,14
borde,sollte,"",81,14
elfte,elfte,"",82,15
tjugoförsta,einundzwanzigste,"",82,15
augusti,August,"",82,15
karaoke,Karaoke,(-n),83,15
tidpunkt,Zeitpunkt,"(-en, -er, -erna)",83,15
hälsning,Gruß,"(-en, -ar, -arna)",85,15
frågealternativ,alternative Antworten,"(-en, −, -ena)",89,15
flyga,fliegen,"(flyger, flög, flugit)",90,16
Göteborg,Göteborg,"",91,16
trafik,Verkehr,(-en),93,16
nia,Neun,"(-n, -or, -orna)",94,16
tia,Zehner,(mynt),94,16
Ukraina,Ukraine,"",13,2
förskolelärare,Kindergärtner/in,"(-n, –, -förskolelärarna)",13,2
gift,verheiratet,"(–, -a)",14,2
bo,wohnen,"(-r, bodde, bott)",14,3
pojkvän,Freund,"(-nen, -ner, -nerna)",15,3
universitet,Universität,"(-et, –, -en)",16,3
annan,anderer,"(annat, andra)",17,3
bra,gut,"(bättre, bäst)",17,3
helt,ganz,"",17,3
dricka,trinken,"(dricker, drack, druckit)",17,3
betonad,betont,"(betonat, betonade)",19,3
thailändsk,thailändisch,"",20,4
telefon,Telefon,"(-en, -er, -erna)",20,4
vecka,Woche,"(-n, -or, -orna)",20,4
självstyrande,autonom,"",20,4
klasskompis,Klassenkamerad/in,"(-en, -ar, -arna)",21,4
webb,Web,(-en),21,4
komplettera,ergänzen,"(-r, -de, -t)",22,4
tja,naja,"",23,4
tro,glauben,"(tror, trodde, trott)",23,4
läsk,"Softdrink, Limo",(ugs) (= läskedryck) (-en),24,5
substantiv,Substantiv,"(-et, –, -en)",24,5
plats,Platz,"(-en, -er, -erna)",25,5
tärning,Würfel,"(-en, -ar, -arna)",28,5
gammal,alt,"(-t, gamla)",28,5
sekund,Sekunde,"(-en, -er, -erna)",29,5
börja,anfangen,"(-r, -de, -t)",30,5
dansa,tanzen,"(-r, -de, -t)",31,6
radio,Radio,"(-n, radioapparater, radioapparaterna)",31,6
direkt,sofort,"",31,6
stor,groß,"(-t, -a)",31,6
soffa,Sofa,"(-n, -or, -orna)",31,6
bredvid,neben,"",32,6
utanför,außerhalb,"",34,6
sova,schlafen,"(sover, sov, sovit)",34,6
örtte,Kräutertee,"(-t, -er, -erna)",35,6
sallad,Salat,(-en),35,6
vilja,wollen,"(vill, ville, velat)",35,7
smörgås,Butterbrot,"(-en, -ar, -arna)",35,7
kod,Geheimzahl,"(-en, -er, -erna)",35,7
strax,gleich,"",35,7
lunchrestaurang,Lunchrestaurant,"(-en, -er, erna)",38,7
chokladboll,Schokobällchen,"(-en, -ar- arna)",38,7
duk,Tischtuch,"(-en, -ar, -arna)",39,7
pluralform,Pluralform,"(-en, -er, -erna)",41,8
hygien,Hygiene,(-en),42,8
turkisk,türkisch,"(-t, -a)",42,8
sill,Hering,"(-en, -ar, -arna)",42,8
choklad,Schokolade,(-en),43,8
tandkräm,Zahnpasta,"(-en, -er, -erna)",43,8
Sid,44,"",43,8
stängd,geschlossen,"(stängt, stängda)",43,8
Spanien,Spanien,"",43,8
bio,Kino,(-n),46,9
helvete,Hölle,"(-t, -n, -na)",46,9
stället,stattdessen,"",46,9
melodi,Melodie,"(-n, -er, -erna)",47,9
konsert,Konzert,"(-en, -er, -erna)",49,9
många,viele,"",49,9
bibliotek,Bücherei,"(-et, en, -ena)",49,9
poker,Poker,(-n),51,9
hennes,ihr,"",51,9
dansk,dänisch,"(-t, -a)",53,10
spännande,spannend,(−),53,10
stanna,bleiben,"(-r, -ade, -t)",54,10
målare,Maler,"(-n, −, -na)",54,10
gång,Mal,"(-en, -er, -erna)",54,10
gift,Gift,"(-et, -er, -en)",55,10
Wow!,Wow!,"",56,10
släkting,Verwandter,"(-en, -ar, -arna)",56,10
syskon,Geschwister,"(-et, −, -en)",57,11
henne sie (sg.),undefined,(sg.),57,11
passa,in reinpassen,"(-r, -de, -t)",58,11
dansare,Tänzer/in,"(-n, −, -na)",59,11
deras,ihr,"",60,11
speciell,speziell,"(-t, -a)",62,11
prissumma,Preisgeld,"(-n, or, -orna)",62,11
nitroglycerin,Nitroglyzerin,"(-en, −, -et)",62,11
patent,Patent,"(-et, −, -en)",62,11
streck,Strich,"(-et, −, -en)",63,12
gissa,raten,"(-r, -de, -t)",64,12
vinna,gewinnen,"(-er, vann, vunnit)",65,12
galleria,Galeria,"(-n, -or, orna)",65,12
dyr,teuer,"(-t, -a)",65,12
strumpa,Strumpf,"(-n, -or, -orna)",67,12
nätet,Internet,(internet),67,12
trosor,Frauenunterhose,(-na),68,12
grå,grau,"(-tt, -a)",68,12
liten,klein,"(litet, små)",69,13
smal,schmal,"(-t, -a)",69,13
smart,schlau,(-a),70,13
örngott,Kissenbezug,"(-et, −, -en)",72,13
prinsessa,Prinzessin,"(-n, -or, -orna)",72,13
garanti,Garantie,"(-n, -er, -erna)",73,13
färg,Farbe,"(-en, -er, -erna)",74,13
kär,verliebt,"(-t, -a)",75,14
tält,Zelt,"(-et, −, -en)",76,14
utrop,Ausruf,"(-et, −, -en)",78,14
guld,Gold,(-et),79,14
skärgård,Schären,"(-en, -ar, -arna)",79,14
SOFO,SOFO,"",79,14
regn,Regen,"(-et, −, -en)",79,14
ordningstal,Ordinalzahlen,"(-et, −, -en)",82,15
fjortonde,vierzehnte,"",82,15
februari,Februar,"",82,15
november,November,"",82,15
applåd,Applaus,"(-en, -er, -erna)",83,15
köra,fahren,"(kör, körde, kört)",84,15
service,Service,(-n),87,15
cykla,Fahrrad fahren,"(-r, -de, -t)",90,16
spår,Gleis,"(-et, −, -en)",91,16
checka,in einchecken,"(-r, -de, -t)",93,16
Mexiko,Mexiko,"",93,16
elva,Elf,"(-n, -or, -orna)",94,16
femma,Fünfer,(mynt),94,16
hälsa,på besuchen,"(-r, -ade, -t)",95,16
Öresundsbron,Öresundsbrücke,"",96,16
terminal,Terminal,"(-en , -er, -erna)",97,17
psykologi,Psychologie,(-n),13,2
programmerare,Programmierer/in,"(-n, –, programmerarna)",13,2
alternativ,Alternative,"(-et, –, -en)",14,2
dotter,Tochter,"(-n, döttrar, döttrarna)",14,3
skild,geschieden,"(skilt, skilda)",15,3
stryka,under unterstreichen,"(stryker, strök, strukit)",16,3
form,Form,"(-en, -er, -erna)",16,3
som,als,"",17,3
må,sich fühlen,"(mår, mådde, mått)",17,3
kanonbra,super,"",17,3
för,zu,"",17,3
trött,müde,"",17,3
formell,formell,"(-t, -a)",19,3
intresserad,av interessiert an,"(intresserat, intresserade)",20,4
ofta,oft,"",20,4
ibland,manchmal,"",20,4
Skandinavien,Skandinavien,"",20,4
Färöarna,Färöer,"",20,4
att,zu,"",21,4
mat,Essen,(-en),21,4
folk,Leute,"",23,4
ordbok,Wörterbuch,"(-en, ordböcker, ordböckerna)",23,4
kanske,vielleicht,"",23,4
sko,Schuh,"(-n, -r, -rna)",24,5
obestämd,unbestimmt,"(obestämt, obestämda)",24,5
siffra,Zahl,"(-n, -or, -orna)",25,5
kasta,werfen,"(-r, -de, -t)",28,5
född,geboren,"",28,5
halv,halb,"(-t, -a)",29,5
program,Programm,"(-met, –, -men)",30,5
vakna,aufwachen,"(-r, -de, -t)",31,6
mejl,E-mail,"(-et, –, -n)",31,6
chatta,chatten,"(-r, -de, -t)",31,6
mellan,zwischen,"",31,6
biff,Beefsteak,"(-en, -ar, -arna)",31,6
favoritprogram,Lieblingssendung,"(-met, –, -men)",31,6
bestämd,bestimmt,"(bestämt, bestämda)",33,6
höger,rechts,"",34,6
soppa,Suppe,"(-n, -or, -orna)",35,6
måste,müssen,"",35,7
gärna,gerne,"",35,7
muntlig övning,mündliche Übung,"(-en, -ar, -arna)",35,7
namnteckning,Unterschrift,"(-en, -ar, -arna)",35,7
nedan,unten,"",38,7
ostsmörgås,Käsebutterbrot,"(-en, -ar, -arna)",38,7
chokadruta,Schokoecke,"(-n, -or, -orna)",38,7
kontant,bar,(-a),39,7
persika,Pfirsich,"(-an, -or, -orna)",41,8
kött,Fleisch,"(-et, −, -en)",42,8
bakprodukt,Backware,"(-en, -er, -erna)",42,8
smör,Butter,(-et),42,8
chips,Chips,"(-et, −, -en)",43,8
schampo,Schampoo,"(-t, -n, -na)",43,8
imitera,nachmachen,"(-r, -de, -t)",43,8
riva,reiben,"(river, rev, rivit)",45,8
biograf,Kino,"(-en, -er, -er)",46,9
skoj,Spaß,(-et),46,9
gratis,umsonst,"",47,9
tycka,finden,"(-er, -te, -t)",47,9
sällan,selten,"",49,9
jaga,jagen,"(-r, -ade, -t)",49,9
innebandy,Unihockey,(-n),51,9
krog,Kneipe,"(-en, -ar, -arna)",51,9
hemmakväll,gemütlicher Abend zu hause,"(-en, -ar, -arna)",52,10
amerikansk,amerikanisch,"(-t, -a)",53,10
science fiction-film,Science-Fiction-Film,"(-en, -er, -erna)",53,10
toppenkväll,Superabend,"(-en, -ar, -arna)",54,10
rum,Zimmer,"(-met, −, -men)",54,10
torn,Turm,"(-et, −, -en)",54,10
jogga,joggen,"(-r, -de, -t)",55,10
besöka,besuchen,"(-er, -te, -t)",56,10
Oma,mütterlicherseits,"",57,10
julmat,Weihnachtsessen,(-en),57,11
er,euch,"",57,11
regnbåge,Regenbogen,"(-n, -ar, -arna)",59,11
din,dein,"",60,11
bäst,beste,(-a),61,11
medicin,Medizin,"(-en, -er, -erna)",62,11
miljon,Million,"(-en, -er, -erna)",62,11
bygga,bauen,"(-er, -de, -t)",62,11
starta,anfangen,"(-r, -de, -t)",62,11
tenniskarriär,Tenniskarriere,"",64,12
uppfinna,erfinden,"(-er, uppfann, uppfunnit)",65,12
forskare,Forscher,"(-n, −, -na)",65,12
ansikte,Gesicht,"(-et, -en, -na)",65,12
mode,Mode,"(-t, -en, -ena)",67,12
trumma,Trommel,"(-n, -or, -orna)",67,12
textil,Textilie,"(-en, -er, -erna)",67,12
bh,BH,"(-:n, -:ar, -:arna)",68,12
rutig,kariert,"(-t, -a)",68,12
äcklig,ekelhaft,"(-t, -a)",69,13
underbar,wunderbar,"(-t, -a)",70,13
ingen,keiner,"",71,13
påslakan,Deckenbezug,"(-et, −, -en)",72,13
perfekt,perfekt,(-a),73,13
bomull,Baumwolle,(-en),73,13
ögonskugga,Lidschatten,"(-n, -or, -orna)",74,13
skål,Schüssel,"(-en, -ar, -arna)",75,14
sportstrumpa,Sportsocken,"(-n, -or, -orna)",76,14
prislapp,Preiszettel,"(-en, -ar, -arna)",78,14
sidenklänning,Seidenkleid,"(-en, -ar, -arna)",79,14
lodjur,Luchs,"(-et, −, -en)",79,14
äta,mat essen,"(äter, åt, ätit)",79,14
väder,Wetter,"(vädret, väder, vädren)",79,14
paddla,kanot Kanu paddeln,"(-r, -de, -t)",79,14
nionde,neunte,"",82,15
tjugonde,zwanzigste,"",82,15
juni,Juni,"",82,15
o.s.v.,u.s.w.,"",82,15
ex,Exdansgolv,"(-et, −, -en)",83,15
mejla,mailen,"(-r, -de, -t)",85,15
läxa,Hausaufgabe,"(-n, -or, -orna)",88,15
våffla,Waffel,"(-n, våfflor, våfflorna)",90,16
max,höchstens,(maximalt),91,16
färja,Fähre,"(-n, färjor, färjorna)",93,16
fyra,Vier,"(-n, -or, -orna)",94,16
ingenting,nichts,"",94,16
sjuttiosexa,Sechsundsiebzig,"",94,16
portugisiska,Portugiesisch,"",13,2
programmering,Programmierung,"(-en, -ar, -arna)",13,2
sambo,Lebensgefährte/Lebensgefährtin,"(-n, -r, -rna)",14,2
två,zwei,"",14,2
USA,USA,"",14,3
man,Mann,"(-nen, män, männen)",14,3
kille,Freund,"(-n, -ar, -arna)",15,3
person,Person,"(-en, -er, -erna)",15,3
nära,nahe,"",16,3
använda,benutzen,"(-er, använde, använt)",17,3
Tjena!,Hi!,"",17,3
Hejsan!,Hallo!,"",17,3
så,so,"",17,3
retur,zurückfragen,"",19,3
ton,Ton,"(-en, -er, -erna)",19,4
tidning,Zeitung,"(-en, -ar, -arna)",20,4
IT-ingenjör,IT-Ingenieur/in,"(-en, -er, -erna)",20,4
bli,werden,"(blir, blev, blivit)",20,4
Grönland,Grönland,"",20,4
lägenhet,Wohnung,"(-en, -er, -erna)",21,4
ska werden (Zukunft),undefined,(Zukunft),21,4
på stan,in der Stadt,(= staden),23,4
cerat,Lippenpflegestift,"(-et, –, -en)",23,4
sak,Sache,"(-en, -er, -erna)",24,5
tröja,Pullover,"(-n, -or, -orna)",24,5
utan,ohne,"",24,5
bakre,hinterer,"",27,5
gata,Straße,"(-n, -or, -orna)",28,5
jamen,aber,"",28,5
fika,Kaffeepause,(-t) (vard),30,5
fikapaus,Kaffeepause,"(-en,-er, -erna)(= kaffepaus)",30,5
ta,nehmen,"(tar, tog, tagit)",31,6
middag,Abendbrot,"(-en, -ar, -arna)",31,6
kontrollera,kontrollieren,"(-r, -de, -t)",31,6
hungrig,hungrig,"(-t, -a)",31,6
berätta,erzählen,"(-r, -de, -t)",31,6
roll,Rolle,"(-en, -er, -erna)",32,6
film,Film,"(-en, -er, -erna)",34,6
glas,Glas,"(-et, –, -en)",35,6
champagne,Champagner,(-n),35,6
snus,Tabak den man unter die Lippe legt,(-et),35,7
ta,en fika einen Kaffee trinken gehen,"(tar, tog, tagit)",35,7
krona,Krone,"(-n, -or, -orna)",35,7
zum,Mitnehmen?,"",35,7
äpple,Apfel,"(-t, -en, -ena)",38,7
thaicurry,thailändisches Currygericht,(-n),38,7
påse,Tüte,"(-en, -ar, -arna)",39,7
gurka,Gurke,"(-n, -or, -orna)",40,8
tredje,dritte,"",42,8
dryck,Getränk,"(-en, -er, -erna)",42,8
ehh,ehh,"",42,8
räka,Garnele,"(-n, -or, -orna)",42,8
ask,Schachtel,"(-en, -ar, -arna)",43,8
olja,Öl,(-n),43,8
idé,Idee,"(-n, -er, -erna)",43,8
inköpslista,Einkaufsliste,"(-n, -or, -orna)",45,8
tisdag,Dienstag,"(-en, -ar, -arna)",46,9
arena,Arena,"(-n, -or, -orna)",46,9
poesi,Poesi,(-n),47,9
annons,Anzeige,"(-en, -er, -erna)",48,9
sjunga,singen,"(sjunger, sjöng, sjungit)",49,9
polisserie,Krimiserie,"(-n, -r, -rna)",49,9
skridsko,Schlittschuh,"(-n, -or, -orna)",51,9
bioannons,Kinoanzeige,"(-en, -er, -erna)",52,10
tråkig,langweilig,"(-t, -a)",53,10
japansk,japanisch,"(-t, -a)",53,10
thriller,Thriller,"(-n, -ers alt. -rar)",53,10
sluta,på enden auf,"(-r, -de, -t)",54,10
fröken,Fräulein,"(fröknar, fröknarna)",54,10
förkyld,erkältet,"(förkylt, -a)",55,10
pris,Preis,"(-et, -er, -erna)",56,10
massa,Menge,"(-n, -or, orna)",56,10
plastförälder,Stiefelternteil,"(-n, plastföräldrar, plastföräldrarna)",57,11
dig,dich,"",57,11
morbror,Onkel mütterlicherseits,"(morbroder, morbröder, morbröderna)",58,11
min,mein,"",60,11
hus,Haus,"(-et, −, -en)",60,11
dela,teilen,"(-r, -de, -t)",62,11
varje,jeder,"",62,11
fabrik,Fabrik,"(-en, -er, -erna)",62,11
resa,reisen,"(-er, -te, -t)",63,12
firma,Firma,"(-n, -or, -orna)",64,12
kämpa,för für … kämpfen,"(-r, -de, -t)",65,12
storstad,Großstadt,"(-en, storstäder, storstäderna)",65,12
outlet,Outlet,"(-en, -s)",65,12
rea,Ausverkauf,"(-n, -or, -orna)",67,12
tavla,Bild,"(-n, -or, -orna)",67,12
plagg,Kleidungsstück,"(-et, −, -en)",68,12
kalsonger,Männerunterhose,(-na),68,12
rosa,rosa,"",68,12
mörk,dunkel,"(-t, -a)",69,13
jobbig,"nervig, anstrengend","(-t, -a)",70,13
täcke,Decke,"(-t, -n, -na)",72,13
Det går bra,Du kannst/Sie können/Ihr könnt gerne …,(att),72,13
erbjudande,Angebot,"(-t, -n, -na)",73,13
placera,einsetzen,"(-r, -de, -t)",74,13
lämna,tillbaka zurückgeben,"(-r, -ade, -t)",75,13
vildmark,Wildnis,"(-en, −, -erna)",76,14
block,Heft,"(-et, −, -en)",78,14
bagageband,Gepäckband,"(-et, −, -en)",79,14
säl,Robbe,"(-en, -ar, -arna)",79,14
titta,på utsikten die Aussicht angucken,"(-r, -de, -t)",79,14
väderprognos,Wettervorhersage,"(-en, -er, -erna)",79,14
designprylar,Designsachen,"",79,14
tionde,zehnte,"",82,15
nittonde,neunzehnte,"",82,15
juli,Juli,"",82,15
sommarstuga,"Sommerhaus, Datscha","(-n, -or, -orna)",83,15
"(-et, −, -en) Tanzfläche",undefined,"(-et, −, -en)",83,15
åka,hem nach hause fahren,"(åker, åkte, åkt)",85,15
Sverigeresa,Schwedenreise,"(-n, -or, -orna)",89,15
spela,kort Karten spielen,"(-r, -de, -t)",90,16
restaurangvagn,Speisewagen,"(-en, -ar, -arna)",91,16
handbagage,Handgepäck,"(-et, −, -en)",93,16
IT-företag,IT-Unternehmen,"(-et, –, -en)",13,2
höra,hören,"(hör, hörde, hört)",14,2
"man (-nen, män, männen) (Ehe)mann",undefined,"(-nen, män, männen) (Ehe)",14,2
par,Paar,"(-et, –, -en)",14,3
tjej,Freundin,"(-en, -er, -erna)",15,3
text,Text,"(-en, -er, -erna)",15,3
lätt,einfach,(-a),16,3
forska,forschen,"(-r, -de, -t)",17,3
Själv?,Selbst?,"",17,3
nja,naja,"",17,3
tillsammans,zusammen,"",19,3
kung,König,"(-en, -ar, -arna)",20,4
Thailand,Thailand,"",20,4
pappa,Papa,"(-an, -or, -orna)",20,4
Island,Island,"",20,4
trevlig,angenehm,"(-t, -a)",21,4
thai,Thailändisch,"",21,4
presentera,sig sich vorstellen,"(-r, -de, -t)",23,4
paket,Packung,"(-et, –, -en)",23,4
bild,Bild,"(-en, -er, -erna)",23,4
